k=1
Letter		Accuracy
0		0.8814432989690721
1		0.8608247422680413
2		0.9326424870466321
3		0.9230769230769231
4		0.8652849740932642
5		0.9175257731958762
6		0.9378238341968912
7		0.8652849740932642
8		0.9538461538461539
9		0.9538461538461539
10		0.917098445595855
11		0.8807947019867549
12		0.8492462311557789
13		0.9435897435897436
14		0.8757763975155279
15		0.9263157894736842
16		0.8719512195121951
17		0.9481865284974094
18		0.85
19		0.8652849740932642
20		0.8205128205128205
21		0.9206349206349206
22		0.8106508875739645
23		0.9387755102040817
24		0.9575471698113207
25		0.9114583333333334
26		0.9293478260869565
